id,name,description
101,Carpaccio de Carne,"Fatias finas de carne bovina crua, parmesão, rúcula e azeite extravirgem."
105,Burrata com Tomate Confit,"Burrata cremosa servida com tomates confitados e pesto."
102,Ceviche de Peixe Branco,"Peixe marinado no limão, cebola roxa e coentro."
104,Camarão Empanado,"Camarões empanados crocantes com molho agridoce."
106,Dadinho de Tapioca,"Cubos crocantes de tapioca com geleia de pimenta."
103,Bolinho de Costela,"Costela desfiada empanada com maionese defumada."
107,Tábua de Frios,"Queijos, embutidos, frutas secas e castanhas."
108,Batata Rústica,"Batatas assadas com ervas e páprica."
109,Anéis de Cebola,"Cebolas empanadas crocantes com molho da casa."
209,Spaghetti à Bolonhesa,"Massa italiana com molho de carne cozido lentamente."
210,Penne ao Molho Alfredo,"Massa curta com molho cremoso de queijo."
212,Gnocchi ao Funghi,"Nhoque macio com cogumelos e creme."
201,Picanha na Brasa,"Picanha grelhada com farofa e vinagrete."
203,Filé Mignon,"Filé grelhado ao ponto com molho de vinho tinto."
202,Contra-filé,"Corte grelhado com manteiga de ervas."
207,Salmão Grelhado,"Salmão com legumes salteados e molho cítrico."
208,Tilápia Grelhada,"Tilápia servida com arroz e legumes."
211,Atum Selado,"Atum selado com crosta de gergelim."
401,Hambúrguer Clássico,"Pão brioche, carne bovina, queijo e molho da casa."
402,Cheeseburger Bacon,"Hambúrguer com cheddar e bacon crocante."
403,Burger Duplo,"Dois discos de carne, queijo e pão brioche."
404,Frango Crispy,"Frango empanado, alface e maionese."
405,Sanduíche de Filé,"Filé grelhado com queijo e cebola caramelizada."
406,Vegetariano,"Hambúrguer de grão-de-bico com legumes."
407,Batata Frita,"Batatas crocantes e douradas."
408,Onion Rings,"Anéis de cebola empanados."
409,Salada Verde,"Mix de folhas frescas."
501,Pudim de Leite,"Pudim cremoso com calda de caramelo."
502,Mousse de Chocolate,"Mousse aerado de chocolate meio amargo."
503,Torta de Limão,"Torta cremosa com merengue."
504,Brownie com Sorvete,"Brownie quente com sorvete de creme."
505,Petit Gâteau,"Bolinho de chocolate com recheio cremoso."
506,Churros,"Churros crocantes com doce de leite."
507,Sorvete Artesanal,"Duas bolas de sorvete artesanal."
508,Taça de Frutas,"Frutas frescas da estação."
509,Milkshake,"Milkshake cremoso de chocolate ou baunilha."
301,Suco Natural,"Suco de frutas da estação."
302,Refrigerante,"Refrigerante lata 350 ml."
303,Água com Gás,"Água mineral com gás."
304,Caipirinha,"Limão, açúcar e cachaça artesanal."
305,Gin Tônica,"Gin, água tônica e especiarias."
306,Moscow Mule,"Vodka, gengibre e espuma cítrica."
307,Drink da Casa,"Vodka, frutas vermelhas e manjericão."
308,Cítrico Tropical,"Rum, maracujá e limão siciliano."
309,Negroni Brasileiro,"Cachaça envelhecida, vermute e bitter."
